Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026,Dự báo T2/2026,Dự báo T3/2026
C - Sparse,41.L1.6060.MS66300(1-5),Naive,200.0,19526.33,22121.0,22121.0,22121.0
C - Sparse,"41.L2.3060.D311(4,6)",Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,"41.L2.3060.D32(09,14)",Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,42.HC.A300FUS.TRANG/TRONG,Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,42.HC.A500FUS.TRANG/TRONG,Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,44.HC.A500UC.TRONG,MA3,83.0,52.03,63.0,63.0,63.0
C - Sparse,45.PK.LUX.HG.606,Croston,70.42,7.95,2.0,2.0,2.0
C - Sparse,"45.PK.LUX.MA.(07,304.05)",MA3,117.69,14.98,18.0,18.0,18.0
C - Sparse,45.PK.LUX.TS.120.120.54/62,MA3,75.79,7.99,10.0,10.0,10.0
C - Sparse,45.PK.LUX.VK.505,MA3,146.67,5.77,3.0,3.0,3.0
C - Sparse,45.PK.LUX.XP.304,Naive,66.67,0.58,0.0,0.0,0.0
C - Sparse,45.TB.LUX.CRC.82.45.2.K,Naive,136.51,3.0,0.0,0.0,0.0
C - Sparse,"46.L1.4080.USC4804(D,V)",Croston,108.66,2063.92,2411.0,2411.0,2411.0
C - Sparse,"46.L1.4080.USC4806(D,V)",Croston,104.61,1863.03,2212.0,2212.0,2212.0
C - Sparse,"46.L1.4080.USC4808(D,V)",Naive,61.39,1145.64,277.0,277.0,277.0
C - Sparse,"46.L1.4080.USC4809(D,V)",Croston,84.96,1021.1,1428.0,1428.0,1428.0
C - Sparse,"47.L1.3060.FP936601(D,V)",MA6,25.09,678.89,3734.0,3734.0,3734.0
C - Sparse,47.L1.3060.FP936604(D),Croston,130.76,1777.96,1390.0,1390.0,1390.0
C - Sparse,47.L1.3060.FP936605,Croston,59.52,485.63,660.0,660.0,660.0
C - Sparse,47.L1.3060.FP936606(D),MA6,70.25,2147.12,5222.0,5222.0,5222.0
C - Sparse,47.L1.3060.FP936607,MA6,76.69,1025.88,2060.0,2060.0,2060.0
C - Sparse,"47.L1.3060.FP936608(D,V)",Croston,130.94,867.58,681.0,681.0,681.0
C - Sparse,47.L1.3060.FP936610(D),Naive,17.76,195.86,1169.0,1169.0,1169.0
C - Sparse,"47.L1.3060.FP9366(11,12/12D)",Croston,45.71,1426.4,2014.0,2014.0,2014.0
C - Sparse,47.L1.3060.FP936613,Croston,140.66,583.94,638.0,638.0,638.0
C - Sparse,"47.L1.4080.FP948601(D,V)",Croston,88.13,728.28,755.0,755.0,755.0
C - Sparse,"47.L1.4080.FP948602(D,V)",Naive,106.18,690.84,40.0,40.0,40.0
C - Sparse,"47.L1.4080.FP948603(D,V)",Croston,105.49,501.71,407.0,407.0,407.0
C - Sparse,"47.L1.4080.FP948604(D,V)",Croston,40.55,1045.25,630.0,630.0,630.0
C - Sparse,"47.L1.6060.AFP9660(0,4,7)",Naive,190.48,1025.24,886.0,886.0,886.0
C - Sparse,"47.L1.6060.AFP96660(2,5)",Naive,200.0,452.11,35.0,35.0,35.0
C - Sparse,"47.L1.6060.AFPH96600(1,9)",Naive,82.68,313.47,112.0,112.0,112.0
C - Sparse,47.L1.6060.FP96600,Croston,22.49,91.85,292.0,292.0,292.0
C - Sparse,47.L1.6060.FP966605,Croston,133.88,138.62,160.0,160.0,160.0
C - Sparse,47.L1.6060.FPU6666,Croston,62.48,234.46,346.0,346.0,346.0
C - Sparse,"47.L1.6060.FPU96600(2,3,9)",MA6,43.67,1572.7,3947.0,3947.0,3947.0
